ocean,region,site_name,sample,age_group,otolith,length_um,width_um,family
Caribbean,Bocas del Toro,Casa Blanca,AT13-12-2-1,modern_bulk,4,1356.709,1136.175,Atherinidae
Caribbean,Bocas del Toro,Casa Blanca,AT13-12-2-1,modern_bulk,5,1362.147,1208.352,Atherinidae
Caribbean,Bocas del Toro,Casa Blanca,AT13-12-2-1,modern_bulk,6,1456.28,1221.096,Atherinidae
Caribbean,Bocas del Toro,Crawl Cay,AT13-11-3-1,modern_bulk,1,1313.103,1200.678,Atherinidae
Caribbean,Bocas del Toro,STRI Point,AT12-1-1-1,modern_bulk,1,1605.716,1192.141,Apogonidae
Caribbean,Bocas del Toro,STRI Point,AT12-1-1-1,modern_bulk,2,1007.019,760.598,Apogonidae
Caribbean,Bocas del Toro,STRI Point,AT12-1-3-1,modern_bulk,3,N/A,1380.54,Apogonidae
Caribbean,Bocas del Toro,STRI Point,AT12-1-3-1,modern_bulk,4,1957.079,1337.452,Apogonidae
Caribbean,Bocas del Toro,STRI Point,AT12-1-3-1,modern_bulk,5,3168.87,2100.033,Apogonidae
Caribbean,Bocas del Toro,STRI Point,AT12-1-2-2,modern_bulk,1,2005.15,1517.402,Apogonidae
Caribbean,Bocas del Toro,STRI Point,AT12-1-4-1,modern_bulk,2,1469.966,1059.96,Apogonidae
Caribbean,Bocas del Toro,STRI Point,AT12-1-4-1,modern_bulk,3,1235.037,913.915,Apogonidae
Caribbean,Bocas del Toro,STRI Point,AT12-1-5-1,modern_bulk,1,2190.537,1581.632,Apogonidae
Caribbean,Bocas del Toro,STRI Point,AT12-1-6-1,modern_bulk,2,1537.402,1079.166,Apogonidae
Caribbean,Bocas del Toro,STRI Point,AT12-1-6-1,modern_bulk,3,1393.617,1027.673,Apogonidae
Caribbean,Bocas del Toro,Sunset Point,AT12-2-1,Holocene_bulk,4,1551.545,1080.954,Apogonidae
Caribbean,Bocas del Toro,Sunset Point,AT12-2-2,Holocene_bulk,5,1137.819,808.234,Apogonidae
Caribbean,Bocas del Toro,Sunset Point,AT12-2-10,Holocene_bulk,1,1087.265,839.396,Apogonidae
Caribbean,Bocas del Toro,Sunset Point,AT12-2-10,Holocene_bulk,2,1175.123,874.172,Apogonidae
Caribbean,Bocas del Toro,Sweet Bocas Trench 1,AT13-2-1,Holocene_bulk,1,1041.619,758.376,Apogonidae
Caribbean,Bocas del Toro,Sweet Bocas Trench 1,AT13-2-8,Holocene_bulk,2,940.694,719.453,Apogonidae
Caribbean,Bocas del Toro,Sweet Bocas Trench 2,AT13-3-10,Holocene_bulk,3,NA,1705.377,Apogonidae
Caribbean,Bocas del Toro,Sweet Bocas Trench 5,AT13-6-3,Holocene_bulk,4,1138.022,815.967,Apogonidae
Caribbean,Bocas del Toro,Sweet Bocas Trench 1,AT13-9-1,Holocene_bulk,1,1575.834,1103.462,Apogonidae
Caribbean,Bocas del Toro,Sweet Bocas Trench 8,AT13-2-10,Holocene_bulk,2,1885.942,N/A,Apogonidae
Caribbean,Bocas del Toro,Sweet Bocas Trench 8,AT13-2-10,Holocene_bulk,3,NA,NA,Apogonidae
Caribbean,Bocas del Toro,Sweet Bocas Trench 3,AT13-4-3,Holocene_bulk,1,3678.12,2670.748,Apogonidae
