basin,region,site_name,sample,depth,unique,type,family,family_count,oto_count_total,sed_weight_whole_sample_kg,sed_weight_500_kg
Caribbean,Bocas del Toro,SW Bocas Island,AT12-4,.,AT12-4-2-1,modern_bulk,Gobiidae,16,37,1.25,0.42226
Caribbean,Bocas del Toro,SW Bocas Island,AT12-4,.,AT12-4-2-1,modern_bulk,Haemulidae,1,37,1.25,0.42226
Caribbean,Bocas del Toro,SW Bocas Island,AT12-4,.,AT12-4-2-1,modern_bulk,Hemiramphidae,1,37,1.25,0.42226
Caribbean,Bocas del Toro,SW Bocas Island,AT12-4,.,AT12-4-2-1,modern_bulk,Lutjanidae,1,37,1.25,0.42226
Caribbean,Bocas del Toro,SW Bocas Island,AT12-4,.,AT12-4-2-1,modern_bulk,Opistognathidae,1,37,1.25,0.42226
Caribbean,Bocas del Toro,SW Bocas Island,AT12-4,.,AT12-4-2-1,modern_bulk,Scaridae,1,37,1.25,0.42226
Caribbean,Bocas del Toro,SW Bocas Island,AT12-4,.,AT12-4-2-1,modern_bulk,Sin_identificar,3,37,1.25,0.42226
Caribbean,Bocas del Toro,SW Bocas Island,AT12-4,.,AT12-4-2-2,modern_bulk,Haemulidae,2,2,1.3,0.83397
Caribbean,Bocas del Toro,SW Bocas Island,AT12-4,.,AT12-4-3-1,modern_bulk,Apogonidae,15,48,1.3,0.28267
Caribbean,Bocas del Toro,SW Bocas Island,AT12-4,.,AT12-4-3-1,modern_bulk,Atherinidae,1,48,1.3,0.28267
Caribbean,Bocas del Toro,SW Bocas Island,AT12-4,.,AT12-4-3-1,modern_bulk,Gobiidae,24,48,1.3,0.28267
Caribbean,Bocas del Toro,SW Bocas Island,AT12-4,.,AT12-4-3-1,modern_bulk,Haemulidae,2,48,1.3,0.28267
Caribbean,Bocas del Toro,SW Bocas Island,AT12-4,.,AT12-4-3-1,modern_bulk,Scaridae,1,48,1.3,0.28267
Caribbean,Bocas del Toro,SW Bocas Island,AT12-4,.,AT12-4-3-1,modern_bulk,Sin_identificar,5,48,1.3,0.28267
Caribbean,Bocas del Toro,SW Bocas Island,AT12-4,.,AT12-4-3-2,modern_bulk,Apogonidae,1,2,1.15,0.402436688
Caribbean,Bocas del Toro,SW Bocas Island,AT12-4,.,AT12-4-3-2,modern_bulk,Haemulidae,1,2,1.15,0.402436688
Caribbean,Bocas del Toro,SW Bocas Island,AT12-4,.,AT12-4-4-1,modern_bulk,Apogonidae,1,1,1.1,0.36709
Caribbean,Bocas del Toro,SW Bocas Island,AT12-4,.,AT12-4-4-2,modern_bulk,Apogonidae,5,52,1.15,0.28406
Caribbean,Bocas del Toro,SW Bocas Island,AT12-4,.,AT12-4-4-2,modern_bulk,Batrachoididae,1,52,1.15,0.28406
Caribbean,Bocas del Toro,SW Bocas Island,AT12-4,.,AT12-4-4-2,modern_bulk,Engraulidae,1,52,1.15,0.28406
Caribbean,Bocas del Toro,SW Bocas Island,AT12-4,.,AT12-4-4-2,modern_bulk,Gobiidae,43,52,1.15,0.28406
Caribbean,Bocas del Toro,SW Bocas Island,AT12-4,.,AT12-4-4-2,modern_bulk,Sin_identificar,2,52,1.15,0.28406
Caribbean,Bocas del Toro,SW Bocas Island,AT12-4,.,AT12-4-5-2,modern_bulk,Apogonidae,1,3,1.1,0.384939441
Caribbean,Bocas del Toro,SW Bocas Island,AT12-4,.,AT12-4-5-2,modern_bulk,Haemulidae,2,3,1.1,0.384939441
Caribbean,Bocas del Toro,Punta Caracol,AT13-10,.,AT13-10-1-1,modern_bulk,Apogonidae,1,26,0.6473,0.26303
Caribbean,Bocas del Toro,Punta Caracol,AT13-10,.,AT13-10-1-1,modern_bulk,Atherinidae,1,26,0.6473,0.26303
Caribbean,Bocas del Toro,Punta Caracol,AT13-10,.,AT13-10-1-1,modern_bulk,Bregmacerotidae,1,26,0.6473,0.26303
Caribbean,Bocas del Toro,Punta Caracol,AT13-10,.,AT13-10-1-1,modern_bulk,Bythitidae,2,26,0.6473,0.26303
Caribbean,Bocas del Toro,Punta Caracol,AT13-10,.,AT13-10-1-1,modern_bulk,Engraulidae,7,26,0.6473,0.26303
Caribbean,Bocas del Toro,Punta Caracol,AT13-10,.,AT13-10-1-1,modern_bulk,Gobiidae,9,26,0.6473,0.26303
Caribbean,Bocas del Toro,Punta Caracol,AT13-10,.,AT13-10-1-1,modern_bulk,Scaridae,1,26,0.6473,0.26303
Caribbean,Bocas del Toro,Punta Caracol,AT13-10,.,AT13-10-1-1,modern_bulk,Sin_identificar,4,26,0.6473,0.26303
Caribbean,Bocas del Toro,Punta Caracol,AT13-10,.,AT13-10-1-2,modern_bulk,Apogonidae,2,21,0.9095,0.37675
Caribbean,Bocas del Toro,Punta Caracol,AT13-10,.,AT13-10-1-2,modern_bulk,Atherinidae,4,21,0.9095,0.37675
Caribbean,Bocas del Toro,Punta Caracol,AT13-10,.,AT13-10-1-2,modern_bulk,Engraulidae,2,21,0.9095,0.37675
Caribbean,Bocas del Toro,Punta Caracol,AT13-10,.,AT13-10-1-2,modern_bulk,Gobiidae,9,21,0.9095,0.37675
Caribbean,Bocas del Toro,Punta Caracol,AT13-10,.,AT13-10-1-2,modern_bulk,Scaridae,1,21,0.9095,0.37675
Caribbean,Bocas del Toro,Punta Caracol,AT13-10,.,AT13-10-1-2,modern_bulk,Sin_identificar,3,21,0.9095,0.37675
Caribbean,Bocas del Toro,Punta Caracol,AT13-10,.,AT13-10-2-1,modern_bulk,Atherinidae,1,18,0.6821,0.27105
Caribbean,Bocas del Toro,Punta Caracol,AT13-10,.,AT13-10-2-1,modern_bulk,Atherinidae,1,18,0.6821,0.27105
Caribbean,Bocas del Toro,Punta Caracol,AT13-10,.,AT13-10-2-1,modern_bulk,Atherinidae,2,18,0.6821,0.27105
Caribbean,Bocas del Toro,Punta Caracol,AT13-10,.,AT13-10-2-1,modern_bulk,Engraulidae,3,18,0.6821,0.27105
Caribbean,Bocas del Toro,Punta Caracol,AT13-10,.,AT13-10-2-1,modern_bulk,Gobiidae,7,18,0.6821,0.27105
Caribbean,Bocas del Toro,Punta Caracol,AT13-10,.,AT13-10-2-1,modern_bulk,Scaridae,1,18,0.6821,0.27105
Caribbean,Bocas del Toro,Punta Caracol,AT13-10,.,AT13-10-2-1,modern_bulk,Sin_identificar,3,18,0.6821,0.27105
Caribbean,Bocas del Toro,Punta Caracol,AT13-10,.,AT13-10-2-2,modern_bulk,Atherinidae,3,7,0.6996,0.33569
Caribbean,Bocas del Toro,Punta Caracol,AT13-10,.,AT13-10-2-2,modern_bulk,Engraulidae,2,7,0.6996,0.33569
Caribbean,Bocas del Toro,Punta Caracol,AT13-10,.,AT13-10-2-2,modern_bulk,Gobiidae,2,7,0.6996,0.33569
Caribbean,Bocas del Toro,Punta Caracol,AT13-10,.,AT13-10-3-1,modern_bulk,Apogonidae,1,23,0.6704,0.31716
Caribbean,Bocas del Toro,Punta Caracol,AT13-10,.,AT13-10-3-1,modern_bulk,Atherinidae,1,23,0.6704,0.31716
Caribbean,Bocas del Toro,Punta Caracol,AT13-10,.,AT13-10-3-1,modern_bulk,Bythitidae,1,23,0.6704,0.31716
Caribbean,Bocas del Toro,Punta Caracol,AT13-10,.,AT13-10-3-1,modern_bulk,Clupeidae,1,23,0.6704,0.31716
Caribbean,Bocas del Toro,Punta Caracol,AT13-10,.,AT13-10-3-1,modern_bulk,Engraulidae,5,23,0.6704,0.31716
Caribbean,Bocas del Toro,Punta Caracol,AT13-10,.,AT13-10-3-1,modern_bulk,Gobiidae,10,23,0.6704,0.31716
Caribbean,Bocas del Toro,Punta Caracol,AT13-10,.,AT13-10-3-1,modern_bulk,Haemulidae,1,23,0.6704,0.31716
Caribbean,Bocas del Toro,Punta Caracol,AT13-10,.,AT13-10-3-1,modern_bulk,Sin_identificar,3,23,0.6704,0.31716
Caribbean,Bocas del Toro,Punta Caracol,AT13-10,.,AT13-10-3-2,modern_bulk,Apogonidae,2,38,0.6716,0.31048
Caribbean,Bocas del Toro,Punta Caracol,AT13-10,.,AT13-10-3-2,modern_bulk,Atherinidae,1,38,0.6716,0.31048
Caribbean,Bocas del Toro,Punta Caracol,AT13-10,.,AT13-10-3-2,modern_bulk,Atherinidae,4,38,0.6716,0.31048
Caribbean,Bocas del Toro,Punta Caracol,AT13-10,.,AT13-10-3-2,modern_bulk,Bythitidae,2,38,0.6716,0.31048
Caribbean,Bocas del Toro,Punta Caracol,AT13-10,.,AT13-10-3-2,modern_bulk,Engraulidae,3,38,0.6716,0.31048
Caribbean,Bocas del Toro,Punta Caracol,AT13-10,.,AT13-10-3-2,modern_bulk,Gerreidae,1,38,0.6716,0.31048
Caribbean,Bocas del Toro,Punta Caracol,AT13-10,.,AT13-10-3-2,modern_bulk,Gobiidae,13,38,0.6716,0.31048
Caribbean,Bocas del Toro,Punta Caracol,AT13-10,.,AT13-10-3-2,modern_bulk,Pomacentridae,1,38,0.6716,0.31048
