Sample,Type_age,Region,Locality,Family,genus,MajorAxisLength,MinorAxisLength,oto_length_mm,oto_length_um
AT14-2-1,Sub Recent,Bocas,Punta Donato,Gobiidae,NA,88.9002327,78.56072164,0.889002327,889.002327
AT12-4-3-1,Sub Recent,Bocas,SW Bocas Island,Gobiidae,NA,89.08882572,80.7153472,0.890888257,890.8882572
AT14-3-6,Sub Recent,Bocas,Cayo Adriana,Gobiidae,NA,89.15480591,72.75395538,0.891548059,891.5480591
AT12-1-3-1,Sub Recent,Bocas,STRI Point,Gobiidae,NA,89.18134756,73.51090945,0.891813476,891.8134756
AT14-3-6,Sub Recent,Bocas,Cayo Adriana,Gobiidae,NA,89.18590683,69.47480704,0.891859068,891.8590683
AT12-3-3-1,Sub Recent,Bocas,Playa Estrella,Gobiidae,NA,89.2208594,76.48525184,0.892208594,892.208594
AT12-3-2-1,Sub Recent,Bocas,Playa Estrella,Gobiidae,NA,89.36895571,78.6020296,0.893689557,893.6895571
AFH12-1-2-3-R,Sub Recent,Bocas,Casa Blanca,Gobiidae,NA,89.38955548,68.68321352,0.893895555,893.8955548
AT14-2-1,Sub Recent,Bocas,Punta Donato,Gobiidae,NA,89.46438496,71.5048738,0.89464385,894.6438496
AT14-2-2,Sub Recent,Bocas,Punta Donato,Gobiidae,NA,89.51965026,99.78915796,0.895196503,895.1965026
AFH12-1-2-3-R,Sub Recent,Bocas,Casa Blanca,Gobiidae,NA,89.54754456,100.5644021,0.895475446,895.4754456
AT14-1-2,Sub Recent,Bocas,Casa Blanca new,Gobiidae,NA,89.60590957,75.1086918,0.896059096,896.0590957
AFH12-1-2-3-R,Sub Recent,Bocas,Casa Blanca,Gobiidae,NA,89.60909124,66.2828654,0.896090912,896.0909124
AT12-14-4-1,Sub Recent,Dominican Republic,"Hickory Ship, La Caleta",Gobiidae,NA,113.5558668,94.76063961,1.135558668,1135.558668
AT14-2-2,Sub Recent,Bocas,Punta Donato,Gobiidae,NA,89.67836307,58.16281801,0.896783631,896.7836307
AT14-1-2,Sub Recent,Bocas,Casa Blanca new,Gobiidae,NA,89.69398485,74.24088156,0.896939849,896.9398485
AT12-4-4-2,Sub Recent,Bocas,SW Bocas Island,Gobiidae,NA,89.71038479,72.74069686,0.897103848,897.1038479
AT14-2-2,Sub Recent,Bocas,Punta Donato,Gobiidae,NA,89.78458827,75.34918095,0.897845883,897.8458827
AFH12-1-2-3-R,Sub Recent,Bocas,Casa Blanca,Gobiidae,NA,90.02549438,59.48654627,0.900254944,900.2549438
AFH12-1-2-3-R,Sub Recent,Bocas,Casa Blanca,Gobiidae,NA,90.04497944,75.79447305,0.900449794,900.4497944
AT14-2-2,Sub Recent,Bocas,Punta Donato,Gobiidae,NA,90.08782988,61.24743054,0.900878299,900.8782988
AT12-3-3-1,Sub Recent,Bocas,Playa Estrella,Gobiidae,NA,90.17107613,75.61966884,0.901710761,901.7107613
AT12-3-3-1,Sub Recent,Bocas,Playa Estrella,Gobiidae,NA,90.21429411,83.40992701,0.902142941,902.1429411
AT12-1-4-1,Sub Recent,Bocas,STRI Point,Gobiidae,NA,90.30328325,80.51613412,0.903032833,903.0328325
AT14-1-8,Sub Recent,Bocas,Casa Blanca new,Gobiidae,NA,90.30492552,73.4171656,0.903049255,903.0492552
AT14-3-4,Sub Recent,Bocas,Cayo Adriana,Gobiidae,NA,90.35398919,79.79961501,0.903539892,903.5398919
AT12-1-3-1,Sub Recent,Bocas,STRI Point,Gobiidae,NA,90.41277944,78.39311763,0.904127794,904.1277944
AT12-5-4-1,Holocene,Dominican Republic,Las Clavellinas,Gobiidae,NA,114.2159822,96.40670696,1.142159822,1142.159822
AFH12-1-2-3-R,Sub Recent,Bocas,Casa Blanca,Gobiidae,NA,90.42634512,74.34251964,0.904263451,904.2634512
AT14-3-4,Sub Recent,Bocas,Cayo Adriana,Gobiidae,NA,90.45634391,74.79299894,0.904563439,904.5634391
AT14-3-4,Sub Recent,Bocas,Cayo Adriana,Gobiidae,NA,90.50353372,74.0353033,0.905035337,905.0353372
AT12-3-2-1,Sub Recent,Bocas,Playa Estrella,Gobiidae,NA,90.53802913,80.19833967,0.905380291,905.3802913
AT12-14-4-1,Sub Recent,Dominican Republic,"Hickory Ship, La Caleta",Gobiidae,NA,114.4859114,100.032467,1.144859114,1144.859114
AT13-4-6,Holocene,Bocas,Sweet Bocas Trench 3,Engraulidae,NA,123.7942893,70.3930867,1.237942893,1237.942893
AT13-4-6,Holocene,Bocas,Sweet Bocas Trench 3,Engraulidae,NA,143.9270422,83.59525024,1.439270422,1439.270422
AT13-4-6,Holocene,Bocas,Sweet Bocas Trench 3,Engraulidae,NA,163.7113675,93.52324209,1.637113675,1637.113675
AT13-5-1,Holocene,Bocas,Sweet Bocas Trench 4,Engraulidae,NA,245.6232498,151.7902146,2.456232498,2456.232498
AT13-5-1,Holocene,Bocas,Sweet Bocas Trench 4,Engraulidae,NA,263.2791107,163.2647623,2.632791107,2632.791107
AT12-3-3-1,Sub Recent,Bocas,Playa Estrella,Gobiidae,NA,90.54943525,76.48269917,0.905494353,905.4943525
AT12-1-4-1,Sub Recent,Bocas,STRI Point,Gobiidae,NA,90.55175083,75.05113788,0.905517508,905.5175083
