Collection_Number,Year of collection,Age,Ocean,Region,Locality,Order,Family,genus,cf. genus,species,subspecies,cf. species,Complete_name,total_length_cm,standard_length_cm,number_of_otoliths,left otolith length mm,right otolith length mm,Author_species,Collector,Compiler
OTO-460-784,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Gobiidae,Coryphopterus,,personatus,,,Coryphopterus personatus ,2.837,2.363,2,,,"Jordan & Thompson, 1905",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-460-785,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Gobiidae,Coryphopterus,,personatus,,,Coryphopterus personatus ,2.374,1.99,2,,,"Jordan & Thompson, 1905",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-460-786,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Gobiidae,Coryphopterus,,personatus,,,Coryphopterus personatus ,2.294,1.927,2,,,"Jordan & Thompson, 1905",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-460-787,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Gobiidae,Coryphopterus,,personatus,,,Coryphopterus personatus ,2.68,2.184,2,,,"Jordan & Thompson, 1905",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-460-788,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Gobiidae,Coryphopterus,,personatus,,,Coryphopterus personatus ,2.602,2.145,2,,,"Jordan & Thompson, 1905",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-460-79,2013,Recent,Caribbean,Colón,San Cristobal,Perciformes,Gobiidae,Coryphopterus,,glaucofraenum,,,Coryphopterus glaucofraenum ,3.5,,2,,,"Gill, 1863",Desconocido,Maria Concepcion
OTO-460-791,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Gobiidae,Gnatholepis,,thompsoni,,,Gnatholepis thompsoni ,4.592,,2,,,"Jordan, 1904",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-460-792,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Gobiidae,Coryphopterus,,glaucofraenum,,,Coryphopterus glaucofraenum ,2.437,1.916,2,,,"Gill, 1863",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-460-793,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Gobiidae,Coryphopterus,,glaucofraenum,,,Coryphopterus glaucofraenum ,3.135,2.488,2,,,"Gill, 1863",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-460-794,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Gobiidae,Coryphopterus,,glaucofraenum,,,Coryphopterus glaucofraenum ,2.165,1.759,1,,,"Gill, 1863",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-460-795,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Gobiidae,Coryphopterus,,glaucofraenum,,,Coryphopterus glaucofraenum ,1.654,1.353,2,,,"Gill, 1863",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-460-796,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Gobiidae,Coryphopterus,,glaucofraenum,,,Coryphopterus glaucofraenum ,3.695,2.991,2,,,"Gill, 1863",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-460-797,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Gobiidae,Coryphopterus,,glaucofraenum,,,Coryphopterus glaucofraenum ,3.971,3.232,2,,,"Gill, 1863",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-460-798,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Gobiidae,Coryphopterus,,glaucofraenum,,,Coryphopterus glaucofraenum ,2.874,2.31,2,,,"Gill, 1863",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-460-799,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Gobiidae,Coryphopterus,,glaucofraenum,,,Coryphopterus glaucofraenum ,3.678,2.982,2,,,"Gill, 1863",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-460-80,2013,Recent,Caribbean,Colón,San Cristobal,Perciformes,Gobiidae,Coryphopterus,,glaucofraenum,,,Coryphopterus glaucofraenum ,3.2,,2,,,"Gill, 1863",Desconocido,Maria Concepcion
OTO-460-800,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Gobiidae,Coryphopterus,,glaucofraenum,,,Coryphopterus glaucofraenum ,2.427,1.981,2,,,"Gill, 1863",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-460-801,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Gobiidae,Coryphopterus,,glaucofraenum,,,Coryphopterus glaucofraenum ,,1.224,2,,,"Gill, 1863",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-460-802,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Gobiidae,Coryphopterus,,glaucofraenum,,,Coryphopterus glaucofraenum ,2.987,2.367,2,,,"Gill, 1863",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-460-803,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Gobiidae,Coryphopterus,,glaucofraenum,,,Coryphopterus glaucofraenum ,4.143,3.274,2,,,"Gill, 1863",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-460-804,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Gobiidae,Coryphopterus,,glaucofraenum,,,Coryphopterus glaucofraenum ,4.31,3.477,2,,,"Gill, 1863",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-460-805,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Gobiidae,Coryphopterus,,glaucofraenum,,,Coryphopterus glaucofraenum ,3.423,2.732,2,,,"Gill, 1863",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-460-806,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Gobiidae,Coryphopterus,,glaucofraenum,,,Coryphopterus glaucofraenum ,2.972,2.361,2,,,"Gill, 1863",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-460-807,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Gobiidae,Coryphopterus,,glaucofraenum,,,Coryphopterus glaucofraenum ,3.499,2.857,2,,,"Gill, 1863",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-460-808,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Gobiidae,Coryphopterus,,glaucofraenum,,,Coryphopterus glaucofraenum ,4.117,3.3,2,,,"Gill, 1863",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-460-809,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Gobiidae,Coryphopterus,,glaucofraenum,,,Coryphopterus glaucofraenum ,2.696,2.177,2,,,"Gill, 1863",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-460-810,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Gobiidae,Coryphopterus,,glaucofraenum,,,Coryphopterus glaucofraenum ,3.581,2.915,2,,,"Gill, 1863",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-460-811,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Gobiidae,Coryphopterus,,glaucofraenum,,,Coryphopterus glaucofraenum ,4.16,3.309,2,,,"Gill, 1863",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-460-812,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Gobiidae,Coryphopterus,,glaucofraenum,,,Coryphopterus glaucofraenum ,3.585,2.909,2,,,"Gill, 1863",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-460-813,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Gobiidae,Coryphopterus,,glaucofraenum,,,Coryphopterus glaucofraenum ,3.522,2.815,2,,,"Gill, 1863",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-460-814,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Gobiidae,Coryphopterus,,glaucofraenum,,,Coryphopterus glaucofraenum ,3.971,3.139,2,,,"Gill, 1863",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-460-815,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Gobiidae,Coryphopterus,,glaucofraenum,,,Coryphopterus glaucofraenum ,4.213,3.322,1,,,"Gill, 1863",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-460-816,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Gobiidae,Coryphopterus,,glaucofraenum,,,Coryphopterus glaucofraenum ,3.71,2.856,2,,,"Gill, 1863",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-460-817,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Gobiidae,Coryphopterus,,tortugae,,,Coryphopterus tortugae ,3.705,2.977,1,,,"Jordan, 1904",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-460-818,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Gobiidae,Coryphopterus,,tortugae,,,Coryphopterus tortugae ,3.961,3.105,2,,,"Jordan, 1904",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-460-832,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Gobiidae,Lythrypnus,,spilus,,,Lythrypnus spilus ,1.66,,1,,,"Bohlke & Robins, 1960",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-460-834,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Gobiidae,Tigrigobius,,saucrus,,,Tigrigobius saucrus ,2.187,,1,,,"Robins, 1960",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-460-841,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Gobiidae,Coryphopterus,,glaucofraenum,,,Coryphopterus glaucofraenum ,1.939,1.53,2,,,"Gill, 1863",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-460-842,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Gobiidae,Coryphopterus,,glaucofraenum,,,Coryphopterus glaucofraenum ,2.389,1.989,2,,,"Gill, 1863",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-460-843,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Gobiidae,Coryphopterus,,glaucofraenum,,,Coryphopterus glaucofraenum ,1.904,1.563,2,,,"Gill, 1863",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-460-844,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Gobiidae,Coryphopterus,,glaucofraenum,,,Coryphopterus glaucofraenum ,1.041,0.913,2,,,"Gill, 1863",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-460-845,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Gobiidae,Coryphopterus,,glaucofraenum,,,Coryphopterus glaucofraenum ,1.107,0.998,2,,,"Gill, 1863",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-460-846,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Gobiidae,Coryphopterus,,glaucofraenum,,,Coryphopterus glaucofraenum ,2.171,1.774,2,,,"Gill, 1863",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-460-847,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Gobiidae,Coryphopterus,,glaucofraenum,,,Coryphopterus glaucofraenum ,1.902,1.52,2,,,"Gill, 1863",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-460-848,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Gobiidae,Coryphopterus,,glaucofraenum,,,Coryphopterus glaucofraenum ,1.454,1.19,2,,,"Gill, 1863",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-460-849,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Gobiidae,Coryphopterus,,glaucofraenum,,,Coryphopterus glaucofraenum ,2.047,1.598,2,,,"Gill, 1863",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-460-850,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Gobiidae,Coryphopterus,,glaucofraenum,,,Coryphopterus glaucofraenum ,1.698,1.337,2,,,"Gill, 1863",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-460-851,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Gobiidae,Coryphopterus,,glaucofraenum,,,Coryphopterus glaucofraenum ,1.98,1.551,2,,,"Gill, 1863",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-460-852,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Gobiidae,Coryphopterus,,glaucofraenum,,,Coryphopterus glaucofraenum ,2.172,1.706,2,,,"Gill, 1863",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-460-853,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Gobiidae,Coryphopterus,,glaucofraenum,,,Coryphopterus glaucofraenum ,2.835,2.237,2,,,"Gill, 1863",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-460-854,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Gobiidae,Coryphopterus,,glaucofraenum,,,Coryphopterus glaucofraenum ,1.418,1.136,2,,,"Gill, 1863",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-460-855,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Gobiidae,Coryphopterus,,glaucofraenum,,,Coryphopterus glaucofraenum ,1.541,1.279,2,,,"Gill, 1863",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-460-856,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Gobiidae,Coryphopterus,,glaucofraenum,,,Coryphopterus glaucofraenum ,1.829,1.439,2,,,"Gill, 1863",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-460-857,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Gobiidae,Coryphopterus,,glaucofraenum,,,Coryphopterus glaucofraenum ,1.638,1.351,2,,,"Gill, 1863",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-460-858,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,6.1,5.1,2,2.03,2.02,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
OTO-460-858,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Gobiidae,Risor,,ruber,,,Risor ruber ,1.863,,1,,,"Rosen, 1911",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-460-859,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,4.7,3.9,,,,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
OTO-460-860,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,3.3,2.6,2,1.54,1.58,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
OTO-460-861,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,4.2,3.4,2,1.73,1.74,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
OTO-460-862,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,4.5,3.9,2,1.73,1.74,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
OTO-460-863,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,5.2,4.3,,,,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
OTO-460-864,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,5.8,4.5,,,,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
OTO-460-865,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,1.9,1.5,,,,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
OTO-460-866,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,1.6,1.3,,,,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
OTO-460-867,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,1.7,1.4,,,,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
OTO-460-868,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,6.2,5.2,2,2.07,2.17,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
OTO-460-869,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,4.5,3.7,,,,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
OTO-460-870,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,4.7,3.8,,,,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
OTO-460-871,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,1.8,1.5,,,,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
OTO-460-872,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,5.3,4.4,2,1.83,1.87,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
OTO-460-873,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,4,3.3,,,,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
OTO-460-874,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,4,3.3,2,1.57,1.54,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
OTO-460-875,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,3.3,2.7,,,,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
OTO-460-876,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,4.1,3.3,,,,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
OTO-460-877,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,2.9,2.5,,,,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
OTO-460-878,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,5.3,4.2,,,,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
OTO-460-879,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,3.6,3,,,,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
OTO-460-880,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,3.2,2.5,,,,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
OTO-460-881,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,4.1,3.4,2,1.44,1.48,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
OTO-460-882,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,4.1,3.5,,,,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
OTO-460-883,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,3.6,2.8,,,,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
OTO-460-884,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,3.4,2.8,,,,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
OTO-460-885,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,4.6,3.7,,,,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
OTO-460-886,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,3,2.4,,,,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
OTO-460-887,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,2.4,1.9,,,,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
OTO-460-888,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,1.7,1.4,,,,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
OTO-460-889,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,1.9,1.5,,,,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
OTO-460-890,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,1.6,1.2,,,,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
OTO-460-891,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,7,5.8,2,2.32,2.32,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
OTO-460-892,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,4.7,3.8,,,,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
OTO-460-893,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,5.7,4.7,,,,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
OTO-460-894,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,5.2,4.3,,,,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
OTO-460-895,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,5.9,4.8,,,,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
OTO-460-896,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,3,2.5,,,,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
OTO-460-897,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,3.7,3.1,,,,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
OTO-460-898,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,3.6,3,,,,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
OTO-460-899,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,5,4.1,,,,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
OTO-460-900,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,4.2,3.5,,,,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
OTO-460-901,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,3.8,3.2,,,,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
OTO-460-902,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,4.2,3.4,,,,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
OTO-460-903,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,5.6,4.7,,,,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
OTO-460-904,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,1.3,0.9,,,,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
OTO-460-905,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,3.7,3.1,,,,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
OTO-460-906,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,3.9,3.2,,,,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
OTO-460-907,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,4,3.4,2,1.48,1.45,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
OTO-460-908,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,2.6,2.1,,,,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
OTO-460-909,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,2.2,1.8,,,,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
OTO-460-910,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,2,1.5,,,,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
OTO-460-911,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,1.7,1.4,,,,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
OTO-460-912,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,2.2,1.7,,,,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
OTO-460-913,2023,Recent,Pacific,Panamá,Las Perlas-Saboga,Perciformes,Gobiidae,Bathygobius ,,ramosus,,,Bathygobius ramosus,2.7,2.2,,,,"Ginsburg, 1947",Brígida De Gracia,Estephany Martínez
