Family,MajorAxisLength,MinorAxisLength,Sample,Oto length (mm),Oto length (um),Type age,Region,Locality
Gobiidae,99.33400427,77.32506073,AT12-3-3-1,0.993340043,993.3400427,Sub Recent,Bocas,Playa Estrella
Gobiidae,99.62540273,86.0105587,AT12-4-4-2,0.996254027,996.2540273,Sub Recent,Bocas,SW Bocas Island
Gobiidae,99.86897112,85.65846703,AT12-3-2-1,0.998689711,998.6897112,Sub Recent,Bocas,Playa Estrella
Gobiidae,99.87644573,80.74974551,AT14-1-2,0.998764457,998.7644573,Sub Recent,Bocas,Casa Blanca new
Gobiidae,99.88159328,79.67965627,AT12-3-3-1,0.998815933,998.8159328,Sub Recent,Bocas,Playa Estrella
Gobiidae,99.88344096,79.30511739,AT12-3-3-1,0.99883441,998.8344096,Sub Recent,Bocas,Playa Estrella
Gobiidae,99.93184088,78.830424,AT12-3-2-1,0.999318409,999.3184088,Sub Recent,Bocas,Playa Estrella
Gobiidae,99.93520877,85.61013793,AT12-1-2-2,0.999352088,999.3520877,Sub Recent,Bocas,STRI Point
Gobiidae,99.94088291,89.19788285,AT12-1-2-1,0.999408829,999.4088291,Sub Recent,Bocas,STRI Point
Gobiidae,99.94549338,89.77109467,AT12-1-2-1,0.999454934,999.4549338,Sub Recent,Bocas,STRI Point
Gobiidae,99.95794278,84.06041064,AT12-1-2-2,0.999579428,999.5794278,Sub Recent,Bocas,STRI Point
Gobiidae,99.95803314,91.53296355,AT12-1-4-1,0.999580331,999.5803314,Sub Recent,Bocas,STRI Point
Gobiidae,100.025748,68.34531528,AT14-2-2,1.00025748,1000.25748,Sub Recent,Bocas,Punta Donato
Gobiidae,100.0355427,88.73884689,AT14-4-1,1.000355427,1000.355427,Sub Recent,Bocas,Airport Point
Gobiidae,100.0604006,86.05276873,AT12-4-2-1,1.000604006,1000.604006,Sub Recent,Bocas,SW Bocas Island
Gobiidae,100.1191568,86.48287189,AT12-1-2-2,1.001191568,1001.191568,Sub Recent,Bocas,STRI Point
Gobiidae,100.1335632,88.83431598,AT14-3-6,1.001335632,1001.335632,Sub Recent,Bocas,Cayo Adriana
Gobiidae,100.1841984,90.54338455,AT14-2-2,1.001841984,1001.841984,Sub Recent,Bocas,Punta Donato
Gobiidae,100.2148863,90.01522709,AT14-1-2,1.002148863,1002.148863,Sub Recent,Bocas,Casa Blanca new
Gobiidae,100.2780403,120.2705826,AT14-2-2,1.002780403,1002.780403,Sub Recent,Bocas,Punta Donato
Gobiidae,100.4068399,90.9324138,AT12-1-1-1,1.004068399,1004.068399,Sub Recent,Bocas,STRI Point
Gobiidae,100.431498,86.82059775,AT12-1-3-1,1.00431498,1004.31498,Sub Recent,Bocas,STRI Point
Gobiidae,100.4507708,84.75248361,AT12-1-3-1,1.004507708,1004.507708,Sub Recent,Bocas,STRI Point
Gobiidae,100.4852564,82.87924338,AT12-3-3-1,1.004852564,1004.852564,Sub Recent,Bocas,Playa Estrella
Gobiidae,100.5276063,83.6881003,AT12-3-2-1,1.005276063,1005.276063,Sub Recent,Bocas,Playa Estrella
Gobiidae,100.5844514,80.80827707,AT12-1-4-1,1.005844514,1005.844514,Sub Recent,Bocas,STRI Point
Gobiidae,100.607247,87.81171333,AT12-4-3-1,1.00607247,1006.07247,Sub Recent,Bocas,SW Bocas Island
Gobiidae,100.6298203,75.5596452,AT14-2-1,1.006298203,1006.298203,Sub Recent,Bocas,Punta Donato
Gobiidae,100.701751,80.98202428,AT12-1-4-1,1.00701751,1007.01751,Sub Recent,Bocas,STRI Point
Gobiidae,100.7445062,85.83417716,AT12-1-3-1,1.007445062,1007.445062,Sub Recent,Bocas,STRI Point
Gobiidae,100.7571833,90.72062837,AT12-4-3-1,1.007571833,1007.571833,Sub Recent,Bocas,SW Bocas Island
Gobiidae,100.8119013,61.00172107,AT14-2-1,1.008119013,1008.119013,Sub Recent,Bocas,Punta Donato
Gobiidae,100.817163,84.64974869,AT12-1-1-1,1.00817163,1008.17163,Sub Recent,Bocas,STRI Point
Gobiidae,100.8746132,87.35312336,AT14-3-4,1.008746132,1008.746132,Sub Recent,Bocas,Cayo Adriana
Gobiidae,100.8821079,78.29760796,AT14-3-6,1.008821079,1008.821079,Sub Recent,Bocas,Cayo Adriana
