"","family","sample","oto_length_mm","oto_length_um","type_age","region","locality","source","oto_width_mm","fish_length_cm"
"70","Atherinidae","AT13-12-4-1",1.148629459,1148.629459,"Sub Recent","Bocas","Casa Blanca","orig_df",0.9330063554,1.88344474918227
"71","Atherinidae","AT13-10-2-2",1.150252562,1150.252562,"Sub Recent","Bocas","Punta Caracol","orig_df",0.910283277,1.88750386776919
"72","Atherinidae","AT13-10-1-2",1.156405516,1156.405516,"Sub Recent","Bocas","Punta Caracol","orig_df",0.8966905985,1.90291869043822
"73","Atherinidae","AT13-12-2-2",1.157460543,1157.460543,"Sub Recent","Bocas","Casa Blanca","orig_df",0.9277484584,1.90556615023255
"74","Atherinidae","AT13-12-4-1",1.173540099,1173.540099,"Sub Recent","Bocas","Casa Blanca","orig_df",0.9468577609,1.94607219720892
"75","Atherinidae","AT13-10-1-2",1.200424715,1200.424715,"Sub Recent","Bocas","Punta Caracol","orig_df",0.9206188575,2.01444905570526
"76","Atherinidae","AT13-10-2-2",1.225953164,1225.953164,"Sub Recent","Bocas","Punta Caracol","orig_df",1.066798338,2.08012484590123
"77","Atherinidae","AT13-10-2-2",1.228139667,1228.139667,"Sub Recent","Bocas","Punta Caracol","orig_df",0.9999383534,2.08578359558086
"78","Atherinidae","AT13-12-1-2",1.262807606,1262.807606,"Sub Recent","Bocas","Casa Blanca","orig_df",1.032759658,2.17620908685581
"79","Atherinidae","AT13-12-2-2",1.305157898,1305.157898,"Sub Recent","Bocas","Casa Blanca","orig_df",1.087777545,2.28845106469246
"80","Atherinidae","AT13-12-1-2",1.311050897,1311.050897,"Sub Recent","Bocas","Casa Blanca","orig_df",1.023758735,2.30422283437925
"81","Atherinidae","AT13-10-2-2",1.325083728,1325.083728,"Sub Recent","Bocas","Punta Caracol","orig_df",1.059334062,2.34192944883664
"82","Atherinidae","AT13-12-2-2",1.327838519,1327.838519,"Sub Recent","Bocas","Casa Blanca","orig_df",1.111920689,2.34935634996063
"83","Atherinidae","AT13-10-2-2",1.335448084,1335.448084,"Sub Recent","Bocas","Punta Caracol","orig_df",1.19926763,2.36991369447264
"84","Atherinidae","AT14-1-3",1.34967258,1349.67258,"Sub Recent","Bocas","Casa Blanca","orig_df",1.04575168,2.40850627692566
"85","Atherinidae","AT14-1-3",1.349859412,1349.859412,"Sub Recent","Bocas","Casa Blanca","orig_df",1.092013115,2.40901459811316
"86","Atherinidae","AT13-12-2-2",1.35300664,1353.00664,"Sub Recent","Bocas","Casa Blanca","orig_df",1.126910556,2.41758293103547
"87","Atherinidae","AT13-12-2-2",1.35312151,1353.12151,"Sub Recent","Bocas","Casa Blanca","orig_df",1.170903089,2.41789586274186
"88","Atherinidae","AT13-10-1-2",1.369907202,1369.907202,"Sub Recent","Bocas","Punta Caracol","orig_df",1.096734008,2.46377338116465
"89","Atherinidae","AT13-12-1-2",1.371967598,1371.967598,"Sub Recent","Bocas","Casa Blanca","orig_df",1.163881273,2.46942513692548
"90","Atherinidae","AT13-12-1-1",1.40026675,1400.26675,"Sub Recent","Bocas","Casa Blanca","orig_df",1.091967339,2.54750031346244
"91","Atherinidae","AT14-1-3",1.41446926,1414.46926,"Sub Recent","Bocas","Casa Blanca","orig_df",1.149326162,2.58699806723353
"92","Atherinidae","AT13-12-4-1",1.416334311,1416.334311,"Sub Recent","Bocas","Casa Blanca","orig_df",1.182068098,2.59220036574059
"93","Atherinidae","AT13-12-1-2",1.421384303,1421.384303,"Sub Recent","Bocas","Casa Blanca","orig_df",1.182370326,2.60630464976158
"94","Atherinidae","AT14-1-3",1.421491413,1421.491413,"Sub Recent","Bocas","Casa Blanca","orig_df",1.063475585,2.60660408581524
"95","Atherinidae","AT13-12-2-2",1.445441302,1445.441302,"Sub Recent","Bocas","Casa Blanca","orig_df",1.17325289,2.67385467660565
"96","Atherinidae","AT13-12-1-1",1.467986526,1467.986526,"Sub Recent","Bocas","Casa Blanca","orig_df",1.140097952,2.73769755927202
"97","Atherinidae","AT13-12-1-1",1.473235452,1473.235452,"Sub Recent","Bocas","Casa Blanca","orig_df",1.149560861,2.75263556275068
"98","Atherinidae","AT13-12-4-1",1.48324697,1483.24697,"Sub Recent","Bocas","Casa Blanca","orig_df",1.202978235,2.78120494795313
"99","Atherinidae","AT13-12-4-1",1.536632901,1536.632901,"Sub Recent","Bocas","Casa Blanca","orig_df",1.405602529,2.93525295077418
"100","Atherinidae","AT14-1-3",1.547242447,1547.242447,"Sub Recent","Bocas","Casa Blanca","orig_df",1.294064149,2.96620639344982
