"","family","sample","oto_length_mm","oto_length_um","type_age","region","locality","source","oto_width_mm","fish_length_cm","n_species","n_estimates","mean_a","mean_b","group_name","sed_weight_500_kg","sed_weight_whole_sample_kg","total_oto_count","fish_weight_g"
"98","Atherinidae","AT13-12-4-1",1.48324697,1483.24697,"Sub Recent","Bocas","Casa Blanca","orig_df",1.202978235,2.78120494795313,1,2,0.0059,3.18135,"AT13-12_7",0.28469,0.5885,73,0.152796232178007
"99","Atherinidae","AT13-12-4-1",1.536632901,1536.632901,"Sub Recent","Bocas","Casa Blanca","orig_df",1.405602529,2.93525295077418,1,2,0.0059,3.18135,"AT13-12_7",0.28469,0.5885,73,0.18138281138178
"100","Atherinidae","AT14-1-3",1.547242447,1547.242447,"Sub Recent","Bocas","Casa Blanca","orig_df",1.294064149,2.96620639344982,1,2,0.0059,3.18135,"AT14-1_3",0.177701,0.6843,95,0.187538237199388
"101","Atherinidae","AT13-12-2-2",1.54925372,1549.25372,"Sub Recent","Bocas","Casa Blanca","orig_df",1.255303303,2.97208688814108,1,2,0.0059,3.18135,"AT13-12_4",0.27237,0.6317,40,0.1887236034322
"102","Atherinidae","AT13-12-1-2",1.566587147,1566.587147,"Sub Recent","Bocas","Casa Blanca","orig_df",1.36330514,3.02293157558714,1,2,0.0059,3.18135,"AT13-12_2",0.29472,0.6281,38,0.199187755491657
"103","Atherinidae","AT14-1-3",1.573992293,1573.992293,"Sub Recent","Bocas","Casa Blanca","orig_df",1.202493549,3.04474364779508,1,2,0.0059,3.18135,"AT14-1_3",0.177701,0.6843,95,0.20379622556364
"104","Atherinidae","AT13-12-1-1",1.588851277,1588.851277,"Sub Recent","Bocas","Casa Blanca","orig_df",1.371693593,3.08867367882456,1,2,0.0059,3.18135,"AT13-12_1",0.22898,0.5786,44,0.213298720417628
"105","Atherinidae","AT14-1-3",1.624700576,1624.700576,"Sub Recent","Bocas","Casa Blanca","orig_df",1.363651023,3.19554836240577,1,2,0.0059,3.18135,"AT14-1_3",0.177701,0.6843,95,0.237677189310103
"106","Atherinidae","AT13-12-2-2",1.636137949,1636.137949,"Sub Recent","Bocas","Casa Blanca","orig_df",1.392383776,3.22990814797074,1,2,0.0059,3.18135,"AT13-12_4",0.27237,0.6317,40,0.245903191589506
"107","Atherinidae","AT13-12-4-1",1.638071555,1638.071555,"Sub Recent","Bocas","Casa Blanca","orig_df",1.584650323,3.23572951041163,1,2,0.0059,3.18135,"AT13-12_7",0.28469,0.5885,73,0.247315935904384
"108","Atherinidae","AT13-12-2-2",1.64172285,1641.72285,"Sub Recent","Bocas","Casa Blanca","orig_df",1.380376998,3.24673202203386,1,2,0.0059,3.18135,"AT13-12_4",0.27237,0.6317,40,0.250001237014034
"109","Atherinidae","AT14-1-3",1.676103043,1676.103043,"Sub Recent","Bocas","Casa Blanca","orig_df",1.3844836,3.3509584594254,1,2,0.0059,3.18135,"AT14-1_3",0.177701,0.6843,95,0.276438514184337
"110","Atherinidae","AT13-10-1-2",1.685664245,1685.664245,"Sub Recent","Bocas","Punta Caracol","orig_df",1.379333345,3.38014491653214,1,2,0.0059,3.18135,"AT13-10_2",0.37675,0.9095,21,0.284171416657371
"111","Atherinidae","AT13-12-2-2",1.693190256,1693.190256,"Sub Recent","Bocas","Casa Blanca","orig_df",1.4002785,3.40317994997616,1,2,0.0059,3.18135,"AT13-12_4",0.27237,0.6317,40,0.2903782492489
"112","Atherinidae","AT13-10-2-2",1.737443995,1737.443995,"Sub Recent","Bocas","Punta Caracol","orig_df",1.458834502,3.53971240667439,1,2,0.0059,3.18135,"AT13-10_3",0.33569,0.6996,7,0.329087425870901
"113","Atherinidae","AT13-12-2-2",1.737874482,1737.874482,"Sub Recent","Bocas","Casa Blanca","orig_df",1.422282577,3.5410496093912,1,2,0.0059,3.18135,"AT13-12_4",0.27237,0.6317,40,0.329483093884247
"114","Atherinidae","AT13-12-2-2",1.832103657,1832.103657,"Sub Recent","Bocas","Casa Blanca","orig_df",1.528393304,3.83789645021165,1,2,0.0059,3.18135,"AT13-12_4",0.27237,0.6317,40,0.425654355636939
"115","Atherinidae","AT13-12-4-1",1.85601688,1856.01688,"Sub Recent","Bocas","Casa Blanca","orig_df",1.642471986,3.91452919488353,1,2,0.0059,3.18135,"AT13-12_7",0.28469,0.5885,73,0.453286781746642
"116","Atherinidae","AT14-1-3",1.858346262,1858.346262,"Sub Recent","Bocas","Casa Blanca","orig_df",1.807252424,3.9220218038284,1,2,0.0059,3.18135,"AT14-1_3",0.177701,0.6843,95,0.456052732283808
